id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie
51108127600001;511081276;1;;Rue Frédéric et Irène Joliot-Curie;51000;51108;Châlons-en-Champagne;;;798786.24;6875073.19;4.349294;48.96801;;;CHALONS EN CHAMPAGNE;RUE F ET IRENE JOLIOT CURIE;commune;commune
51108127300002;511081273;2;;Rue des Frères Lumière;51000;51108;Châlons-en-Champagne;;;799308.25;6875168.89;4.356445;48.96879;;;CHALONS EN CHAMPAGNE;RUE DES FRERES LUMIERE;commune;commune
51108128000005;511081280;5;;Rue des Frères Navlet;51000;51108;Châlons-en-Champagne;;;798778;6874119.88;4.348959;48.95944;;;CHALONS EN CHAMPAGNE;RUE DES FRERES NAVLET;commune;commune
51108129000001;511081290;1;;Rue des Fripiers;51000;51108;Châlons-en-Champagne;;;799825.45;6873760.94;4.363176;48.956051;;;CHALONS EN CHAMPAGNE;RUE DES FRIPIERS;commune;commune
51108131000001;511081310;1;;Rue Galasse;51000;51108;Châlons-en-Champagne;;;800117.31;6874383.71;4.367308;48.961605;;;CHALONS EN CHAMPAGNE;RUE GALASSE;commune;commune
51108133000001;511081330;1;;Rue du Gantelet;51000;51108;Châlons-en-Champagne;;;799666.21;6873807.91;4.361013;48.956498;;;CHALONS EN CHAMPAGNE;RUE DU GANTELET;commune;commune
51108136000003;511081360;3;;Rue du Général Abbé;51000;51108;Châlons-en-Champagne;;;800315.71;6873066.73;4.369705;48.949733;;;CHALONS EN CHAMPAGNE;RUE DU GENERAL ABBE;commune;commune
51108136200002;511081362;2;;Rue du Général Camus;51000;51108;Châlons-en-Champagne;;;797748.28;6873728.34;4.334809;48.956077;;;CHALONS EN CHAMPAGNE;RUE DU GENERAL CAMUS;commune;commune
51108137000022;511081370;22;;Rue du Général Compère;51000;51108;Châlons-en-Champagne;;;800498.42;6873832.77;4.372381;48.956592;;;CHALONS EN CHAMPAGNE;RUE DU GENERAL COMPERE;commune;commune
51108138000001;511081380;1;;Rue du Général Drouot;51000;51108;Châlons-en-Champagne;;;800792.09;6874141.41;4.376464;48.959321;;;CHALONS EN CHAMPAGNE;RUE DU GENERAL DROUOT;commune;commune
51108136100003;511081361;3;;Rue du Général Edmond Buat;51000;51108;Châlons-en-Champagne;;;799940.8;6874583.2;4.364945;48.963426;;;CHALONS EN CHAMPAGNE;RUE DU GENERAL EDMOND BUAT;commune;commune
